,normalizedName,shortName,width,height,Items,ItemMasks,GridItems
54,ak-74-545x39-6l31-60-round-magazine,6L31,1,2,Images/Items/item_54.png,Images/ItemMasks/itemmask_54.png,Images/GridItems/griditem_54.png
55,ak-74-saiga-545-545x39-10-round-magazine,Saiga 545,1,1,Images/Items/item_55.png,Images/ItemMasks/itemmask_55.png,Images/GridItems/griditem_55.png
56,mp-133-12ga-6-shell-magazine,MP-133x6,2,1,Images/Items/item_56.png,Images/ItemMasks/itemmask_56.png,Images/GridItems/griditem_56.png
57,mp-133-12ga-8-shell-magazine,MP-133x8,3,1,Images/Items/item_57.png,Images/ItemMasks/itemmask_57.png,Images/GridItems/griditem_57.png
58,pm-9x18pm-84-round-makeshift-drum-magazine,PM drum,2,2,Images/Items/item_58.png,Images/ItemMasks/itemmask_58.png,Images/GridItems/griditem_58.png
59,556x45-colt-ar-15-stanag-30-round-magazine,STANAG,1,2,Images/Items/item_59.png,Images/ItemMasks/itemmask_59.png,Images/GridItems/griditem_59.png
60,kiba-arms-sprm-rail-mount-for-pump-action-shotguns,SPRM,1,1,Images/Items/item_60.png,Images/ItemMasks/itemmask_60.png,Images/GridItems/griditem_60.png
61,delta-tek-sprut-mount-for-pump-action-shotguns,Sprut,1,1,Images/Items/item_61.png,Images/ItemMasks/itemmask_61.png,Images/GridItems/griditem_61.png
62,high-standard-m4ss-stock,M4SS,2,1,Images/Items/item_62.png,Images/ItemMasks/itemmask_62.png,Images/GridItems/griditem_62.png
63,ar-15-leapers-utg-low-profile-a2-front-sight,LPA2 FS,1,1,Images/Items/item_63.png,Images/ItemMasks/itemmask_63.png,Images/GridItems/griditem_63.png
64,ar-15-colt-a2-pistol-grip,A2,1,1,Images/Items/item_64.png,Images/ItemMasks/itemmask_64.png,Images/GridItems/griditem_64.png
65,ar-15-colt-a2-rear-sight,A2 RS,1,1,Images/Items/item_65.png,Images/ItemMasks/itemmask_65.png,Images/GridItems/griditem_65.png
66,surefire-socom556-monster-556x45-sound-suppressor,556-MONSTER,2,1,Images/Items/item_66.png,Images/ItemMasks/itemmask_66.png,Images/GridItems/griditem_66.png
67,surefire-socom556-mini-monster-556x45-sound-suppressor,556-MINI,2,1,Images/Items/item_67.png,Images/ItemMasks/itemmask_67.png,Images/GridItems/griditem_67.png
68,ar-15-daniel-defense-ris-ii-95-handguard-coyote-brown,RIS II 9.5,2,1,Images/Items/item_68.png,Images/ItemMasks/itemmask_68.png,Images/GridItems/griditem_68.png
69,mp-133-12ga-510mm-barrel-with-rib,MP133 510mm rib,3,1,Images/Items/item_69.png,Images/ItemMasks/itemmask_69.png,Images/GridItems/griditem_69.png
70,mp-133-12ga-540mm-barrel,MP133 540mm,3,1,Images/Items/item_70.png,Images/ItemMasks/itemmask_70.png,Images/GridItems/griditem_70.png
71,mp-133-12ga-540mm-barrel-with-rib,MP133 540mm rib,3,1,Images/Items/item_71.png,Images/ItemMasks/itemmask_71.png,Images/GridItems/griditem_71.png
72,mp-133-12ga-660mm-barrel,MP133 660mm,4,1,Images/Items/item_72.png,Images/ItemMasks/itemmask_72.png,Images/GridItems/griditem_72.png
73,mp-133-12ga-660mm-barrel-with-rib,MP133 660mm rib,4,1,Images/Items/item_73.png,Images/ItemMasks/itemmask_73.png,Images/GridItems/griditem_73.png
74,mp-133-12ga-710mm-barrel,MP133 710mm,5,1,Images/Items/item_74.png,Images/ItemMasks/itemmask_74.png,Images/GridItems/griditem_74.png
75,mp-133-12ga-710mm-barrel-with-rib,MP133 710mm rib,5,1,Images/Items/item_75.png,Images/ItemMasks/itemmask_75.png,Images/GridItems/griditem_75.png
76,mp-133-12ga-750mm-barrel,MP133 750mm,5,1,Images/Items/item_76.png,Images/ItemMasks/itemmask_76.png,Images/GridItems/griditem_76.png
77,mp-133-12ga-750mm-barrel-with-rib,MP133 750mm rib,5,1,Images/Items/item_77.png,Images/ItemMasks/itemmask_77.png,Images/GridItems/griditem_77.png
78,remington-tactical-choke-12ga,RTC 12ga,1,1,Images/Items/item_78.png,Images/ItemMasks/itemmask_78.png,Images/GridItems/griditem_78.png
79,mp-133153-plastic-pistol-grip,133/153,1,1,Images/Items/item_79.png,Images/ItemMasks/itemmask_79.png,Images/GridItems/griditem_79.png
80,mp-133153-plastic-stock,133/153 plastic,2,1,Images/Items/item_80.png,Images/ItemMasks/itemmask_80.png,Images/GridItems/griditem_80.png
81,mp-133153-wooden-stock,133/153 wood,2,1,Images/Items/item_81.png,Images/ItemMasks/itemmask_81.png,Images/GridItems/griditem_81.png
82,sv-98-rear-sight,SV98 RS,1,1,Images/Items/item_82.png,Images/ItemMasks/itemmask_82.png,Images/GridItems/griditem_82.png
83,sv-98-anti-heat-ribbon,SV98 HR,1,1,Images/Items/item_83.png,Images/ItemMasks/itemmask_83.png,Images/GridItems/griditem_83.png
84,1270-7mm-buckshot,7mm,1,1,Images/Items/item_84.png,Images/ItemMasks/itemmask_84.png,Images/GridItems/griditem_84.png
85,762x54mm-r-snb-gzh,SNB,1,1,Images/Items/item_85.png,Images/ItemMasks/itemmask_85.png,Images/GridItems/griditem_85.png
86,zenit-klesch-2p-flashlight-with-laser,Klesch-2P,1,1,Images/Items/item_86.png,Images/ItemMasks/itemmask_86.png,Images/GridItems/griditem_86.png
87,762x54mm-r-snb-gzh-ammo-pack-30-pcs,SNB,1,1,Images/Items/item_87.png,Images/ItemMasks/itemmask_87.png,Images/GridItems/griditem_87.png
88,sv-98-762x54r-muzzle-device,SV98 MD,1,1,Images/Items/item_88.png,Images/ItemMasks/itemmask_88.png,Images/GridItems/griditem_88.png
89,kalashnikov-ak-74n-545x39-assault-rifle,AK-74N,4,1,Images/Items/item_89.png,Images/ItemMasks/itemmask_89.png,Images/GridItems/griditem_89.png
90,fort-kiver-m-bulletproof-helmet,Kiver-M,2,2,Images/Items/item_90.png,Images/ItemMasks/itemmask_90.png,Images/GridItems/griditem_90.png
91,peltor-comtac-2-headset,ComTac 2,2,2,Images/Items/item_91.png,Images/ItemMasks/itemmask_91.png,Images/GridItems/griditem_91.png
92,blackrock-chest-rig,BlackRock,3,4,Images/Items/item_92.png,Images/ItemMasks/itemmask_92.png,Images/GridItems/griditem_92.png
93,paca-soft-armor,PACA,3,3,Images/Items/item_93.png,Images/ItemMasks/itemmask_93.png,Images/GridItems/griditem_93.png
94,ak-zenit-rp-1-charging-handle,RP-1,1,1,Images/Items/item_94.png,Images/ItemMasks/itemmask_94.png,Images/GridItems/griditem_94.png
95,ak-caa-rs47-handguard,RS47,1,1,Images/Items/item_95.png,Images/ItemMasks/itemmask_95.png,Images/GridItems/griditem_95.png
96,ak-74-wooden-handguard-6p20-sb6,6P20 Sb.6,1,1,Images/Items/item_96.png,Images/ItemMasks/itemmask_96.png,Images/GridItems/griditem_96.png
97,ak-74-polymer-handguard-6p20-sb9,6P20 Sb.9,1,1,Images/Items/item_97.png,Images/ItemMasks/itemmask_97.png,Images/GridItems/griditem_97.png
98,ak-zenit-b-10m-handguard-with-b-19-upper-mount,B10M+B19,1,1,Images/Items/item_98.png,Images/ItemMasks/itemmask_98.png,Images/GridItems/griditem_98.png
99,ncstar-mpr45-backup-mount,MPR45,1,1,Images/Items/item_99.png,Images/ItemMasks/itemmask_99.png,Images/GridItems/griditem_99.png
100,ak-74-545x39-muzzle-brake-compensator-6p20-0-20,6P20 0-20,1,1,Images/Items/item_100.png,Images/ItemMasks/itemmask_100.png,Images/GridItems/griditem_100.png
101,ak-zenit-dtk-1-762x39545x39-muzzle-brake-compensator,DTK-1,1,1,Images/Items/item_101.png,Images/ItemMasks/itemmask_101.png,Images/GridItems/griditem_101.png
102,ak-bakelite-pistol-grip-6p1-sb8v,6P1 Sb.8V,1,1,Images/Items/item_102.png,Images/ItemMasks/itemmask_102.png,Images/GridItems/griditem_102.png
103,ak-polymer-pistol-grip-6p1-sb8,6P1 Sb.8,1,1,Images/Items/item_103.png,Images/ItemMasks/itemmask_103.png,Images/GridItems/griditem_103.png
104,ak-zenit-rk-3-pistol-grip,RK-3,1,1,Images/Items/item_104.png,Images/ItemMasks/itemmask_104.png,Images/GridItems/griditem_104.png
105,ak-74-dust-cover-6p20-0-1,6P1 0-1,2,1,Images/Items/item_105.png,Images/ItemMasks/itemmask_105.png,Images/GridItems/griditem_105.png
106,ak-zenit-b-33-dust-cover,B-33,2,1,Images/Items/item_106.png,Images/ItemMasks/itemmask_106.png,Images/GridItems/griditem_106.png
107,ak-74-rear-sight-6p20-sb2,6P20 Sb.2,1,1,Images/Items/item_107.png,Images/ItemMasks/itemmask_107.png,Images/GridItems/griditem_107.png
108,ak-74-polymer-stock-6p20-sb7,6P20 Sb.7,2,1,Images/Items/item_108.png,Images/ItemMasks/itemmask_108.png,Images/GridItems/griditem_108.png
109,ak-74-wooden-stock-6p20-sb5,6P20 Sb.5,2,1,Images/Items/item_109.png,Images/ItemMasks/itemmask_109.png,Images/GridItems/griditem_109.png
110,akmak-74-me4-buffer-tube-adapter,ME4,1,1,Images/Items/item_110.png,Images/ItemMasks/itemmask_110.png,Images/GridItems/griditem_110.png
111,colt-carbine-buffer-tube,Carbine,2,1,Images/Items/item_111.png,Images/ItemMasks/itemmask_111.png,Images/GridItems/griditem_111.png
112,ak-taktika-tula-tt01-rear-sight-rail,TT01,1,1,Images/Items/item_112.png,Images/ItemMasks/itemmask_112.png,Images/GridItems/griditem_112.png
113,762x39mm-ps-gzh-ammo-pack-30-pcs,PS,1,1,Images/Items/item_113.png,Images/ItemMasks/itemmask_113.png,Images/GridItems/griditem_113.png
114,ak-74-545x39-6l20-30-round-magazine,6L20,1,2,Images/Items/item_114.png,Images/ItemMasks/itemmask_114.png,Images/GridItems/griditem_114.png
115,ak-74-545x39-6l18-45-round-magazine,6L18,1,3,Images/Items/item_115.png,Images/ItemMasks/itemmask_115.png,Images/GridItems/griditem_115.png
116,ak-74-tgp-a-545x39-sound-suppressor,TGP-A,2,1,Images/Items/item_116.png,Images/ItemMasks/itemmask_116.png,Images/GridItems/griditem_116.png
117,762x39mm-ps-gzh,PS,1,1,Images/Items/item_117.png,Images/ItemMasks/itemmask_117.png,Images/GridItems/griditem_117.png
118,40mm-vog-25-grenade,VOG-25,1,1,Images/Items/item_118.png,Images/ItemMasks/itemmask_118.png,Images/GridItems/griditem_118.png
119,pistol-case,Pistols,2,2,Images/Items/item_119.png,Images/ItemMasks/itemmask_119.png,Images/GridItems/griditem_119.png
120,dorm-room-118-key,Dorm 118,1,1,Images/Items/item_120.png,Images/ItemMasks/itemmask_120.png,Images/GridItems/griditem_120.png
121,aa-battery,AA batt.,1,1,Images/Items/item_121.png,Images/ItemMasks/itemmask_121.png,Images/GridItems/griditem_121.png
122,d-size-battery,D batt.,1,1,Images/Items/item_122.png,Images/ItemMasks/itemmask_122.png,Images/GridItems/griditem_122.png
123,geiger-muller-counter,GMcount,1,2,Images/Items/item_123.png,Images/ItemMasks/itemmask_123.png,Images/GridItems/griditem_123.png
124,can-of-pacific-saury,Saury,1,1,Images/Items/item_124.png,Images/ItemMasks/itemmask_124.png,Images/GridItems/griditem_124.png
125,crickent-lighter,Crickent,1,1,Images/Items/item_125.png,Images/ItemMasks/itemmask_125.png,Images/GridItems/griditem_125.png
126,zibbo-lighter,Zibbo,1,1,Images/Items/item_126.png,Images/ItemMasks/itemmask_126.png,Images/GridItems/griditem_126.png
127,broken-gphone-smartphone,GPhone,1,1,Images/Items/item_127.png,Images/ItemMasks/itemmask_127.png,Images/GridItems/griditem_127.png
128,dollars,USD,1,1,Images/Items/item_128.png,Images/ItemMasks/itemmask_128.png,Images/GridItems/griditem_128.png
129,euros,EUR,1,1,Images/Items/item_129.png,Images/ItemMasks/itemmask_129.png,Images/GridItems/griditem_129.png
130,sig-p226r-9x19-pistol,P226R,2,1,Images/Items/item_130.png,Images/ItemMasks/itemmask_130.png,Images/GridItems/griditem_130.png
131,p226-9x19-15-round-magazine,P226,1,1,Images/Items/item_131.png,Images/ItemMasks/itemmask_131.png,Images/GridItems/griditem_131.png
132,9x19mm-pst-gzh,Pst,1,1,Images/Items/item_132.png,Images/ItemMasks/itemmask_132.png,Images/GridItems/griditem_132.png
133,p226-9x19-112mm-barrel,P226 112mm,1,1,Images/Items/item_133.png,Images/ItemMasks/itemmask_133.png,Images/GridItems/griditem_133.png
134,p226-polymer-pistol-grip-black,P226 blk,1,1,Images/Items/item_134.png,Images/ItemMasks/itemmask_134.png,Images/GridItems/griditem_134.png
135,p226r-mk25-pistol-slide,P226R,2,1,Images/Items/item_135.png,Images/ItemMasks/itemmask_135.png,Images/GridItems/griditem_135.png
136,p226-front-sight,P226 FS,1,1,Images/Items/item_136.png,Images/ItemMasks/itemmask_136.png,Images/GridItems/griditem_136.png
137,p226-rear-sight,P226 RS,1,1,Images/Items/item_137.png,Images/ItemMasks/itemmask_137.png,Images/GridItems/griditem_137.png
138,mp-153-12ga-semi-automatic-shotgun,MP-153,3,1,Images/Items/item_138.png,Images/ItemMasks/itemmask_138.png,Images/GridItems/griditem_138.png
139,mp-153-12ga-750mm-barrel,MP153 750mm,5,1,Images/Items/item_139.png,Images/ItemMasks/itemmask_139.png,Images/GridItems/griditem_139.png
140,mp-153-polymer-forestock,MP153 Poly,2,1,Images/Items/item_140.png,Images/ItemMasks/itemmask_140.png,Images/GridItems/griditem_140.png
141,mp-153-12ga-4-shell-magazine-cap,MP153x4,1,1,Images/Items/item_141.png,Images/ItemMasks/itemmask_141.png,Images/GridItems/griditem_141.png
142,mp-153-12ga-8-shell-magazine,MP153x8,3,1,Images/Items/item_142.png,Images/ItemMasks/itemmask_142.png,Images/GridItems/griditem_142.png
143,surefire-x400-ultra-tactical-flashlight-with-laser,X400,1,1,Images/Items/item_143.png,Images/ItemMasks/itemmask_143.png,Images/GridItems/griditem_143.png
144,545x39mm-bp-gs,BP,1,1,Images/Items/item_144.png,Images/ItemMasks/itemmask_144.png,Images/GridItems/griditem_144.png
145,545x39mm-bs-gs,BS,1,1,Images/Items/item_145.png,Images/ItemMasks/itemmask_145.png,Images/GridItems/griditem_145.png
146,545x39mm-bt-gs,BT,1,1,Images/Items/item_146.png,Images/ItemMasks/itemmask_146.png,Images/GridItems/griditem_146.png
147,545x39mm-fmj,FMJ,1,1,Images/Items/item_147.png,Images/ItemMasks/itemmask_147.png,Images/GridItems/griditem_147.png
148,545x39mm-hp,HP,1,1,Images/Items/item_148.png,Images/ItemMasks/itemmask_148.png,Images/GridItems/griditem_148.png
149,545x39mm-pp-gs,PP,1,1,Images/Items/item_149.png,Images/ItemMasks/itemmask_149.png,Images/GridItems/griditem_149.png
150,545x39mm-prs-gs,PRS,1,1,Images/Items/item_150.png,Images/ItemMasks/itemmask_150.png,Images/GridItems/griditem_150.png
151,545x39mm-ps-gs,PS,1,1,Images/Items/item_151.png,Images/ItemMasks/itemmask_151.png,Images/GridItems/griditem_151.png
152,545x39mm-sp,SP,1,1,Images/Items/item_152.png,Images/ItemMasks/itemmask_152.png,Images/GridItems/griditem_152.png
153,545x39mm-t-gs,T,1,1,Images/Items/item_153.png,Images/ItemMasks/itemmask_153.png,Images/GridItems/griditem_153.png
154,545x39mm-us-gs,US,1,1,Images/Items/item_154.png,Images/ItemMasks/itemmask_154.png,Images/GridItems/griditem_154.png
155,pb-9x18pm-silenced-pistol,PB,2,1,Images/Items/item_155.png,Images/ItemMasks/itemmask_155.png,Images/GridItems/griditem_155.png
156,pb-bakilte-side-grips,PB bak.,1,1,Images/Items/item_156.png,Images/ItemMasks/itemmask_156.png,Images/GridItems/griditem_156.png
157,pb-9x18pm-sound-suppressor,PB supp.,2,1,Images/Items/item_157.png,Images/ItemMasks/itemmask_157.png,Images/GridItems/griditem_157.png
158,scav-backpack,ScavBP,4,5,Images/Items/item_158.png,Images/ItemMasks/itemmask_158.png,Images/GridItems/griditem_158.png
159,duffle-bag,Duffle,4,3,Images/Items/item_159.png,Images/ItemMasks/itemmask_159.png,Images/GridItems/griditem_159.png
160,transformer-bag,T-Bag,3,3,Images/Items/item_160.png,Images/ItemMasks/itemmask_160.png,Images/GridItems/griditem_160.png
161,ar-15-noveske-kx3-556x45-flash-hider,KX3 556,1,1,Images/Items/item_161.png,Images/ItemMasks/itemmask_161.png,Images/GridItems/griditem_161.png
162,hensoldt-ff-4-16x56-34mm-riflescope,FF 4-16,2,1,Images/Items/item_162.png,Images/ItemMasks/itemmask_162.png,Images/GridItems/griditem_162.png
163,ar-15-badger-ordnance-tactical-charging-handle-latch,BOTL,1,1,Images/Items/item_163.png,Images/ItemMasks/itemmask_163.png,Images/GridItems/griditem_163.png
164,p226-sight-mount-220-239-rear-sight-bearing,SM220-239,1,1,Images/Items/item_164.png,Images/ItemMasks/itemmask_164.png,Images/GridItems/griditem_164.png
165,ar-15-kac-qdc-556x45-flash-suppressor-kit,QDC 556,1,1,Images/Items/item_165.png,Images/ItemMasks/itemmask_165.png,Images/GridItems/griditem_165.png
166,sv-98-bipod,SV98 Bipod,2,1,Images/Items/item_166.png,Images/ItemMasks/itemmask_166.png,Images/GridItems/griditem_166.png
167,ar-15-windham-weaponry-rail-gas-block,RGBlock,1,1,Images/Items/item_167.png,Images/ItemMasks/itemmask_167.png,Images/GridItems/griditem_167.png
168,ar-15-daniel-defense-mk12-low-profile-gas-block,MK12,1,1,Images/Items/item_168.png,Images/ItemMasks/itemmask_168.png,Images/GridItems/griditem_168.png
169,magpul-moe-carbine-stock-black,MOE,2,1,Images/Items/item_169.png,Images/ItemMasks/itemmask_169.png,Images/GridItems/griditem_169.png
170,eotech-553-holographic-sight,553,1,1,Images/Items/item_170.png,Images/ItemMasks/itemmask_170.png,Images/GridItems/griditem_170.png
171,walther-mrs-reflex-sight,MRS,1,1,Images/Items/item_171.png,Images/ItemMasks/itemmask_171.png,Images/GridItems/griditem_171.png
172,okp-7-reflex-sight,OKP-7,1,1,Images/Items/item_172.png,Images/ItemMasks/itemmask_172.png,Images/GridItems/griditem_172.png
173,f-1-hand-grenade,F-1,1,1,Images/Items/item_173.png,Images/ItemMasks/itemmask_173.png,Images/GridItems/griditem_173.png
174,ar-15-damage-industries-ecs-pistol-grip-fde,ECS FDE,1,1,Images/Items/item_174.png,Images/ItemMasks/itemmask_174.png,Images/GridItems/griditem_174.png
175,tt-33-762x25-tt-pistol,TT,2,1,Images/Items/item_175.png,Images/ItemMasks/itemmask_175.png,Images/GridItems/griditem_175.png
176,tt-762x25-116mm-barrel,TT 116mm,1,1,Images/Items/item_176.png,Images/ItemMasks/itemmask_176.png,Images/GridItems/griditem_176.png
177,tt-762x25-121mm-homespun-threaded-barrel,TT 121mm thr.,1,1,Images/Items/item_177.png,Images/ItemMasks/itemmask_177.png,Images/GridItems/griditem_177.png
178,tt-side-grips,TT grips,1,1,Images/Items/item_178.png,Images/ItemMasks/itemmask_178.png,Images/GridItems/griditem_178.png
179,tt-762x25-makeshift-sound-suppressor,TT supp.,2,1,Images/Items/item_179.png,Images/ItemMasks/itemmask_179.png,Images/GridItems/griditem_179.png
180,tt-762x25-tt-105-8-round-magazine,tt-105,1,1,Images/Items/item_180.png,Images/ItemMasks/itemmask_180.png,Images/GridItems/griditem_180.png
181,anpvs-14-night-vision-monocular,PVS-14,1,1,Images/Items/item_181.png,Images/ItemMasks/itemmask_181.png,Images/GridItems/griditem_181.png
182,scav-vest,Scav Vest,2,3,Images/Items/item_182.png,Images/ItemMasks/itemmask_182.png,Images/GridItems/griditem_182.png
183,baseball-cap,Cap,1,1,Images/Items/item_183.png,Images/ItemMasks/itemmask_183.png,Images/GridItems/griditem_183.png
